Title,Summary,URLName,datacategorygroup.FAFSA
FAFSA Question 37,"Question 37 is asking is for the amount you (and your spouse, if married) paid, according your tax return. Enter your income tax paid from your tax return in whole dollars. The FAFSA form should tell you which line of your tax return you can find this information on. If you are filing electronically, the answer to this question may be pre-filled with “Transferred from the IRS.”",FAFSA-Question-37,Form_Questions
FAFSA Question 38,"Question 38 is asking how much money you made from working during the year listed. Even if you didn't file a tax return, you will have to enter any money you made for this question. Enter the amount in whole dollars. If you filed a tax return for that year, the FAFSA form should tell you which line of your tax return you can find this information on. If you are filing electronically, the answer to this question may be pre-filled with “Transferred from the IRS.” If you had no income for the given year, enter 0.",FAFSA-Question-38,Form_Questions
FAFSA Question 39,"Question 39 is asking how much money your spouse made from working during the year listed. Even if your spouse didn't file a tax return, you will have to enter any money they made for this question. Enter the amount in whole dollars. If your spouse filed a tax return for that year, the FAFSA form should tell you which line of their tax return you can find this information on. If you are filing electronically and you and your spouse filed your tax return jointly, the answer to this question may be pre-filled with “Transferred from the IRS.” If your spouse had no income for the given year, enter 0.",FAFSA-Question-39,Form_Questions
FAFSA Question 40,"Question 40 is asking how much money you (and your spouse, if married) have in cash, savings, and checking accounts. If you have a checking and/or savings account with a bank or credit union, enter the total amounts of those accounts as of the date you are filling out and submitting the FAFSA form. If you and your spouse have separate bank accounts, you will still need to include the bank balance(s) of your spouse in this answer.",FAFSA-Question-40,Form_Questions
FAFSA Question 41,"Question 41 is asking for the total value of any investments you (and your spouse, if married) have made. If you or your spouse have no investments, or your investments have a negative value, enter 0. Investments are defined in the Notes section of the FAFSA (page 9 on the paper form).",FAFSA-Question-41,Form_Questions
FAFSA Question 42,"Question 42 is asking for the total value of any businesses or investment farms you (and your spouse, if married) have. If you or your spouse have no businesses or investment farms, or they have a negative value, enter 0. Investments are defined in the Notes section of the FAFSA (page 9 on the paper form).",FAFSA-Question-42,Form_Questions
FAFSA Question 43,"Question 43 is asking for specific financial information from the student. This information can usually be found on your tax forms. The specific question may reference where you can find this information the relevant tax form. If you are filing electronically, the answer to this question may be pre-filled with “Transferred from the IRS.” If a specific line item does not apply to you, enter 0.",FAFSA-Question-43,Form_Questions
FAFSA Question 43a,"Question 43a is asking if you (or your spouse, if married) received any education credits on your taxes. If you are filing electronically, the answer to this question may be pre-filled with “Transferred from the IRS.” If you or your spouse did not receive any education credits, enter 0.",FAFSA-Question-43a,Form_Questions
FAFSA Question 43b,"Question 43b is asking if you  (or your spouse, if married) paid any child support due to a divorce or separation. This does not include any children living with you. If you did not pay any child support for any reason, enter 0.",FAFSA-Question-43b,Form_Questions
FAFSA Question 43c,"Question 43c is asking if you  (or your spouse, if married) made any money from need-based employment programs, such as work study. If you or your spouse did not make any money from these programs for any reason, enter 0.",FAFSA-Question-43c,Form_Questions
FAFSA Question 43d,"Question 43d is asking if you  (or your spouse, if married) received any taxable grant or scholarship money that you reported as income on your tax return. This includes fellowships and assistantships. If you or your spouse did not receive any money from grants, scholarships, assistantships, or fellowships that you had to report as income, enter 0.",FAFSA-Question-43d,Form_Questions
FAFSA Question 43e,"Question 43e is asking if you  (or your spouse, if married) received combat pay or special combat pay. This applies to members of the United States Armed Forces who fought in high-risk combat zones. For more information on combat pay, please visit https://www.1040.com/tax-guide/faq/what-is-combat-pay/

 If you or your spouse did not receive any combat pay or special combat pay, enter 0.",FAFSA-Question-43e,Form_Questions
FAFSA Question 43f,"Question 43f is asking if you  (or your spouse, if married) received any money from working in a cooperative education program offered by your college. If you or your spouse did not receive any money from these programs or have not previously attended college, enter 0.",FAFSA-Question-43f,Form_Questions
FAFSA Question 44,"Question 44 is asking for any untaxed income you (or your spouse, if married) made during the specific year given on the FAFSA form. Most students still in high school will not have any additional income that would qualify to be reported here.",FAFSA-Question-44,Form_Questions
FAFSA Question 44a,"Question 44a is asking if you (or your spouse, if married) made payments to tax-deferred pension plans or retirement savings plans. If you or your spouse did not make payments to these plans for any reason, enter 0.",FAFSA-Question-44a,Form_Questions
FAFSA Question 44b,"Question 44b is asking if you (or your spouse, if married) made any deductions or payments to specific qualified plans as outlined on Schedule 1 of your tax return. If you or your spouse did not make any deductions or payments to these plans, or did not file a Schedule 1, enter 0.",FAFSA-Question-44b,Form_Questions
FAFSA Question 44c,"Question 44c is asking if you (or your spouse, if married) received any child support payments for any of your children. This does not apply to foster care or adoption payments. If you or your spouse did not receive these payments or you have no children, enter 0.",FAFSA-Question-44c,Form_Questions
FAFSA Question 44d,"Question 44d is asking if you (or your spouse, if married) received any income from interest that you didn't need to pay taxes on. If you are filing electronically, the answer to this question may be pre-filled with “Transferred from the IRS.” If you or your spouse did not receive any income from this source, enter 0.",FAFSA-Question-44d,Form_Questions
FAFSA Question 44e,"Question 44e is asking if you (or your spouse, if married) received any pensions or distributions from an IRA.  If you are filing electronically, the answer to this question may be pre-filled with “Transferred from the IRS.” If you or your spouse did not receive any income from this source, or the amount is negative, enter 0.",FAFSA-Question-44e,Form_Questions
FAFSA Question 44f,"Question 44fis asking if you (or your spouse, if married) received any sort of living allowance paid to members of the military or clergy. On-base military housing or basic military allowances for housing don't count for this. Cash payments and cash value of benefits do count for this. If you or your spouse did not receive any income from this source, enter 0.",FAFSA-Question-44f,Form_Questions
FAFSA Question 44g,"Question 44g is asking if you (or your spouse, if married) received any non-education benefits from being a veteran of the US military. If you or your spouse did not receive any income from this source or are not veterans of the military, enter 0.",FAFSA-Question-44g,Form_Questions
FAFSA Question 44h,"Question 44h is asking if you (or your spouse, if married) received any other money you didn't pay taxes on, such as disability benefits and workers' compensation. If you or your spouse did not receive any income from these sources, enter 0.",FAFSA-Question-44h,Form_Questions
FAFSA Question 44i,"Question 44i is asking if you (or your spouse, if married) had any other money received or paid on your behalf, such as bills, that you have not already included on this form. This money includes prepaid tuition plans, such as a 529 plan.",FAFSA-Question-44i,Form_Questions
FAFSA Step Three,"Section Three determines if you wil need your parents to complete Step Four. If you respond ""Yes"" to any question, you can skip Step Four entirely and move on to Step Five.",FAFSA-Step-Three,Form_Questions
FAFSA Question 45,"Question 45 is asking to confirm you are 23 years of age or older. Answer yes if your birthday is before January 1st, 1998. 

If the answer to this question is Yes, skip down to Step Five on the FAFSA Form.",FAFSA-Question-45,Form_Questions
FAFSA Question 46,"Question 46 is asking to confirm if you are married. Answer yes if you are married as of today. Also answer yes if you are separated but not divorced.

If the answer to this question is Yes, skip down to Step Five on the FAFSA Form.",FAFSA-Question-46,Form_Questions
FAFSA Question 47,"Question 47 is asking if you are working on an advanced degree, such as a master's degree or doctorate. If you will be working on an advanced degree for the school year you're filling out the FAFSA for, skip down to Step Five on the FAFSA Form.",FAFSA-Question-47,Form_Questions
FAFSA Question 48,"Question 48 is asking to confirm if you are in the military on active duty. Select Yes if you are currently serving in the U.S. Armed Forces or are a National Guard or Reserves enlistee who is on active duty for other than state or training purposes.

If you are a National Guard or Reserves enlistee who is on active duty for state or training purposes, or if you are not currently serving on active duty in the U.S. Armed Forces, do not check the box.

If the answer to this question is Yes, skip down to Step Five on the FAFSA Form.",FAFSA-Question-48,Form_Questions
FAFSA Question 49,"Question 49 is asking if you are a veteran of the U.S. Armed Forces. Select Yes if you have engaged in active duty (including basic training) in the U.S. Armed Forces (Army, Navy, Air Force, Marines, or Coast Guard), or are a National Guard or Reserve enlistee who was called to active duty for other than state or training purposes, or were a cadet or midshipman at one of the service academies, and were released under a condition other than dishonorable. Also check the box if you are not a veteran now but will be one by June 30, 2022.

Do not check the box if you:
Are currently serving in the U.S. Armed Forces and will continue to serve through June 30, 2022
Have never engaged in active duty (including basic training) in the U.S. Armed Forces
Are currently an ROTC student, a cadet or midshipman at a service academy
Are a National Guard or Reserves enlistee activated only for state or training purposes,  
Were engaged in active duty in the U.S. Armed Forces but released under dishonorable conditions.

 If the answer to this question is Yes, skip down to Step Five on the FAFSA Form.",FAFSA-Question-49,Form_Questions
FAFSA Question 50,"Question 50 is asking if you have children you provide primary support for. Select Yes if you have children (or are expecting a child who will be born before or during the school year) and your child(ren) receive(s) more than half of their support from you (and if married, your spouse).

Select No if you do not have children. Also select No if your children are not receiving more than half of their support from you (and if married, your spouse).

If the answer to this question is Yes, skip down to Step Five on the FAFSA Form.",FAFSA-Question-50,Form_Questions
FAFSA Question 51,"Question 51 is asking if you have dependents who are not your children that you provide primary support for. Select Yes if other people (not your children or spouse) live with you. These other dependents must also be receiving more than half of their support from you and will continue to receive more than half of their support from you through June 30, 2022. 
 
Select No if you do not have dependents (other than your children or spouse). Also select No if you have dependents, but they are not receiving more than half of their support from you.

If the answer to this question is Yes, skip down to Step Five on the FAFSA Form.",FAFSA-Question-51,Form_Questions
FAFSA Question 52,"Question 52 is asking if your parents are deceased or if you have been a ward or dependent of the court as a teenager. Select Yes if:
You had no living parent (biological or adoptive) at any time since you turned age 13, even if you are now adopted.
You were in foster care at any time since you turned age 13, even if you are no longer in foster care as of today.  
you were a dependent or ward of the court at any time since you turned age 13, even if you are no longer a dependent/ward of the court as of today. For federal student aid purposes, someone who is incarcerated is not considered a ward of the court. 
  
If you are not sure if you were in foster care, check with your state child welfare agency. You can find out the contact information for your state child welfare agency by visiting your state child welfare agency. The financial aid administrator at your college may require you to provide proof that you were in foster care or a dependent/ward of the court.

If the answer to this question is Yes, skip to Step Five on the FAFSA form.",FAFSA-Question-52,Form_Questions
FAFSA Question 53,"Question 53 is asking if you are an emancipated minor. If you answer Yes to this question, you may be required to provide proof that you are an emancipated minor from a court decision that comes from the state you legally resided in when the decision was made. If you are still a minor and the court decision is not in effect currently or was not in effect when you became an adult, select No. If you are not an emancipated minor, select No.",FAFSA-Question-53,Form_Questions
FAFSA Question 54,"Question 54 is asking if your legal guardian was not a parent or stepparent. If you answer Yes to this question, you may be required to provide proof of the court decision that identifies your legal guardian as someone other than a parent or stepparent. That court decision must come from the state you legally resided in when the decision was made. If the court decision for legal guardianship is not in effect currently or was not in effect when you became an adult, select No. ",FAFSA-Question-54,Form_Questions
FAFSA Question 55,"Question 55 is asking if your school or school district considered you an unaccompanied youth that was homeless, or self-supporting and at risk of becoming homeless after July 1st of the year prior to the start of the school year for your FAFSA form. Answer “No” if you are not homeless or at risk of being homeless, or do not have a determination from your school or school district.",FAFSA-Question-55,Form_Questions
FAFSA Question 56,"Question 56 is asking if an emergency shelter or transitional housing program considered you an unaccompanied youth that was homeless, or self-supporting and at risk of becoming homeless after July 1st of the year prior to the start of the school year for your FAFSA form. Answer “No” if you are not homeless or at risk of being homeless, or do not have a determination from an emergency shelter or transitional housing program.",FAFSA-Question-56,Form_Questions
FAFSA Question 57,"Question 56 is asking if a runaway/homeless youth center or transitional housing program considered you an unaccompanied youth that was homeless, or self-supporting and at risk of becoming homeless after July 1st of the year prior to the start of the school year for your FAFSA form. Answer “No” if you are not homeless or at risk of being homeless, or do not have a determination from a runaway/homeless youth center  or transitional housing program.",FAFSA-Question-57,Form_Questions
Step Four Overview,"Step Four of the FAFSA form asks for personal information about the student's parents, including name, address, identification numbers, education level, and financial details. If you answered ""Yes"" to any of the questions in Step Three, you can skip Step Four entirely. If your legal parents are married to each other, or are not married to each other and live together, answer the questions about both of them. If your parent was never married or is remarried, divorced, separated or widowed, see StudentAid.gov/fafsa-parent for additional instructions.",Step-Four-Overview,Form_Questions
FAFSA Question 58,Question 58 is asking if your parents were ever married. Select the option that best describes your parents' relationship.,FAFSA-Question-58,Form_Questions
FAFSA Question 59,"Question 59 is asking for the date that your parent's marital status changed (marriage, divorce, separation, or spouse's death). If your parents have never been married, you can leave this blank. ",FAFSA-Question-59,Form_Questions
FAFSA Question 60,"Question 60 is asking for one of your parents' Social Security Number. Enter their Social Security Number as it appears on their Social Security card. If your parent does not have a Social Security Number, you must enter 000-00-0000. If they have a Social Security Number, but don't remember it or don't have access to their Social Security card due to misplacement or other factors, they can request a new or replacement card from the Social Security Administration here: https://www.ssa.gov/ssnumber/",FAFSA-Question-60,Form_Questions
FAFSA Question 61,"Question 61 is asking for your parent's last name. Enter in their last name as it appears on their Social Security card, if applicable.",FAFSA-Question-61,Form_Questions
FAFSA Question 62,"Question 62 is asking for your parent's first initial. Enter in the first letter of their first name as it appears on their Social Security card, if applicable.",FAFSA-Question-62,Form_Questions
FAFSA Question 63,"Question 63 is asking for your parent's date of birth. Enter their date of birth in “mmddyyyy” format. For example, if their birthday is May 3, 1975, enter 05031975.",FAFSA-Question-63,Form_Questions
FAFSA Question 64,"Question 64 is asking for one of your parents' Social Security Number. This must be a different parent from the one you identified in question 60. Enter their Social Security Number as it appears on their Social Security card. If your parent does not have a Social Security Number, you must enter 000-00-0000. If they have a Social Security Number, but don't remember it or don't have access to their Social Security card due to misplacement or other factors, they can request a new or replacement card from the Social Security Administration here: https://www.ssa.gov/ssnumber/",FAFSA-Question-64,Form_Questions
FAFSA Question 65,"Question 65 is asking for your parent's last name. Enter in their last name as it appears on their Social Security card, if applicable.",FAFSA-Question-65,Form_Questions
FAFSA Question 66,"Question 66 is asking for your parent's first initial. Enter in the first letter of their first name as it appears on their Social Security card, if applicable.",FAFSA-Question-66,Form_Questions
FAFSA Question 67,"Question 67 is asking for your parent's date of birth. Enter their date of birth in “mmddyyyy” format. For example, if their birthday is May 3, 1975, enter 05031975.",FAFSA-Question-67,Form_Questions
FAFSA Question 68,Question 68 is asking for your parents' email address. Enter their e-mail address so they can receive a notification when your FAFSA form has been processed. A valid email address usually looks like this matt@yahoo.com or ashley@gmail.com.,FAFSA-Question-68,Form_Questions
FAFSA Question 69,"Question 69 is asking for which state your parents live in. Enter or select their current state or country of legal residence. If you live with your parents, this will be the same answer as question 18.",FAFSA-Question-69,Form_Questions
FAFSA Question 70,"Question 70 is asking if your parents have been a legal resident of the state they live in for at least five years. Select Yes if they became a legal resident of the state you entered in question 69 before January 1, 2016. Select No if they became a legal resident of the state you entered in question 69 on or after January 1, 2016. If you live with your parents, this may be the same answer as question 19.",FAFSA-Question-70,Form_Questions
FAFSA Question 71,"Question 71 is asking how long your parents have been a legal resident of the state they live in. You indicated they were not a legal resident of the state entered in the state of legal residence question before January 1, 2016. You must type the month and year they became legal residents. If you live with your parents, this may be the same answer as question 20.",FAFSA-Question-71,Form_Questions
FAFSA Question 72,"Question 72 is asking how many people are in your parents' household. This includes yourself (even if you do not live with your parents), your parents, and other children or individuals for whom your parents provide more than half their support and will continue to do so through the school year indicated on your FAFSA form.",FAFSA-Question-72,Form_Questions
FAFSA Question 73,"Question 73 is asking how many people in your parents' household, aside from themselves or siblings in a military academy, will be college students for the given year on your FAFSA form. You, as a student, always count for this question!",FAFSA-Question-73,Form_Questions
FAFSA Question 74,"Question 74 is asking if you, your parents, or anyone in your household (counted in question 72) received benefits from Medicaid or Supplemental Security Income. If someone in your household did receive these benefits, check the box.",FAFSA-Question-74,Form_Questions
FAFSA Question 75,"Question 75 is asking if you, your parents, or anyone in your household (counted in question 72) received benefits from the Supplemental Nutrition Assistance Program (SNAP). If someone in your household did receive these benefits, check the box.",FAFSA-Question-75,Form_Questions
FAFSA Question 76,"Question 75 is asking if you, your parents, or anyone in your household (counted in question 72) qualified for free or Reduced Price School Lunch. If someone in your household did qualify, check the box.",FAFSA-Question-76,Form_Questions
FAFSA Question 77,"Question 77 is asking if you, your parents, or anyone in your household (counted in question 72) received benefits from Temporary Assistance for Needy Families (TANF). Your state may have a different name for this program. To verify the program name for your state, please visit https://aspe.hhs.gov/dataset/tanf-program-names

If someone in your household did receive these benefits, check the box.",FAFSA-Question-77,Form_Questions
FAFSA Question 78,"Question 78 is asking if you, your parents, or anyone in your household (counted in question 72) received benefits from the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC). If someone in your household did receive these benefits, check the box.",FAFSA-Question-78,Form_Questions
FAFSA Question 79,"Question 79 is asking if your parents have filed a tax return for a specific year. If they have not filed yet but will file one for the given year, they can use the previous year's tax return if they anticipate their income to be similar for both years.",FAFSA-Question-79,Form_Questions
FAFSA Question 80,Question 80 is asking what kind of tax return your parents have filed or will file for the given year. This will likely be a 1040 or 1040 EZ.,FAFSA-Question-80,Form_Questions
FAFSA Question 81,Question 81 is asking your parents' tax filing status for the given year. Enter the tax filing status they used to file their taxes for that year.,FAFSA-Question-81,Form_Questions
FAFSA Question 82,"Question 82 is asking if your parents filed a Schedule 1 with your tax return. A Schedule 1 goes through specific additional income and adjustments to your income outside of a standard job, with entries for self-employment, interest for existing student loans, unemployment income, and other sources. If they did not file a Schedule 1, select ""No.""

The FAFSA will list specific items that, if your parentls filed a Schedule 1 form for only those reasons, you can select ""No"" for this question, even if they did file a Schedule 1.

If they filed a Schedule 1 with their tax return for reasons not listed as exempt, select ""Yes.""",FAFSA-Question-82,Form_Questions
FAFSA Question 83,"Question 83 is asking if your parents or stepparents are dislocated workers, either due to layoffs, economic conditions, natural disasters, or previously occupied as a homemaker and struggling to find employment. You may be required to provide proof that your parents or stepparents are dislocated workers.",FAFSA-Question-83,Form_Questions
FAFSA Question 84,Question 84 is asking for your parents' adjusted gross income from their tax returns. Enter their total adjusted gross income from their tax returns in whole dollars. The FAFSA form should tell you which line of their tax return you can find this information on. ,FAFSA-Question-84,Form_Questions
FAFSA Question 85,"Question 85 is asking is for the amount your parents paid, according their tax returns. Enter their total income tax paid from their tax returns in whole dollars. The FAFSA form should tell you which line of your tax return you can find this information on.",FAFSA-Question-85,Form_Questions
FAFSA Question 86,"Question 86 is asking how much money one of your parents made from working during the year listed. Even if they didn't file a tax return, you will have to enter any money they made for this question. Enter the amount in whole dollars. If they filed a tax return for that year, the FAFSA form should tell you which line of their tax return you can find this information on.",FAFSA-Question-86,Form_Questions
FAFSA Question 87,"Question 87 is asking how much money one of your parents made from working during the year listed (not the same parent from question 86). Even if they didn't file a tax return, you will have to enter any money they made for this question. Enter the amount in whole dollars. If they filed a tax return for that year, the FAFSA form should tell you which line of their tax return you can find this information on.",FAFSA-Question-87,Form_Questions
FAFSA Question 88,"Question 88 is asking how much money your parents have in cash, savings, and checking accounts. Your parents may not provide you with exact numbers, but they should provide a number that is close to the correct total.",FAFSA-Question-88,Form_Questions
FAFSA Question 89,"Question 89 is asking for the total value of any investments your parents have made. If your parents have no investments, or your investments have a negative value, enter 0. Investments are defined in the Notes section of the FAFSA (page 9 on the paper form).",FAFSA-Question-89,Form_Questions
FAFSA Question 90,"90 is asking for the total value of any businesses or investment farms your parents have. If your parents have no businesses or investment farms, or they have a negative value, enter 0. Investments are defined in the Notes section of the FAFSA (page 9 on the paper form).",FAFSA-Question-90,Form_Questions
FAFSA Question 91,"Question 91 is asking for specific financial information from your parents or stepparents. This information can usually be found on their tax forms. The specific question may reference where you can find this information the relevant tax form. If a specific line item does not apply to them, enter 0.",FAFSA-Question-91,Form_Questions
FAFSA Question 91a,"Question 91a is asking if your parents or stepparents) received any education credits on your taxes. If your parents or stepparents did not receive any education credits, enter 0.",FAFSA-Question-91a,Form_Questions
FAFSA Question 91b,"Question 91b is asking if your parents or stepparents  paid any child support due to a divorce or separation. This does not include any children living with them. If your parents or stepparents did not pay any child support for any reason, enter 0.",FAFSA-Question-91b,Form_Questions
FAFSA Question 91c,"Question 91c is asking if your parents or stepparents made any money from need-based employment programs, such as work study. If your parents or stepparents  did not make any money from these programs for any reason, enter 0.",FAFSA-Question-91c,Form_Questions
FAFSA Question 91d,"Question 91d is asking if your parents or stepparents received any taxable grant or scholarship money that they reported as income on their tax returns. This includes fellowships and assistantships. If your parents or stepparents did not receive any money from grants, scholarships, assistantships, or fellowships that they had to report as income, enter 0.",FAFSA-Question-91d,Form_Questions
FAFSA Question 91e,"Question 91e is asking if your parents or stepparents received combat pay or special combat pay. This applies to members of the United States Armed Forces who fought in high-risk combat zones. For more information on combat pay, please visit https://www.1040.com/tax-guide/faq/what-is-combat-pay/

 If your parents or stepparents  did not receive any combat pay or special combat pay, enter 0.",FAFSA-Question-91e,Form_Questions
FAFSA Question 91f,"Question 91f is asking if you  (or your spouse, if married) received any money from working in a cooperative education program offered by a college. If your parents or stepparents  did not receive any money from these programs, enter 0.",FAFSA-Question-91f,Form_Questions
FAFSA Question 92,Question 92 is asking for any untaxed income your parents or stepparents made during the specific year given on the FAFSA form. Some of this is on your parents' tax returns.,FAFSA-Question-92,Form_Questions
FAFSA Question 92a,"Question 92a is asking if your parents or stepparentsmade payments to tax-deferred pension plans or retirement savings plans. If they did not make payments to these plans for any reason, enter 0.",FAFSA-Question-92a,Form_Questions
FAFSA Question 92b,"Question 92b is asking if your parents or stepparents made any deductions or payments to specific qualified plans as outlined on Schedule 1 of your tax return. If they did not make any deductions or payments to these plans, or did not file a Schedule 1, enter 0.",FAFSA-Question-92b,Form_Questions
FAFSA Question 92c,"Question 92c is asking if your parents or stepparents received any child support payments for any of their children, including you. This does not apply to foster care or adoption payments. If your parents or stepparents did not receive these payments, enter 0.",FAFSA-Question-92c,Form_Questions
FAFSA Question 92d,"Question 92d is asking if your parents or stepparents received any income from interest they didn't need to pay taxes on. If your parents or stepparents did not receive any income from this source, enter 0.",FAFSA-Question-92d,Form_Questions
FAFSA Question 92e,"Question 92e is asking if your parents or stepparents received any pensions or distributions from an IRA.  If they did not receive any income from this source, or the amount is negative, enter 0.",FAFSA-Question-92e,Form_Questions
FAFSA Question 92f,"Question 92f is asking if your parents or stepparents received any sort of living allowance paid to members of the military or clergy. On-base military housing or basic military allowances for housing don't count for this. Cash payments and cash value of benefits do count for this. If your parents or stepparents did not receive any income from this source, enter 0.",FAFSA-Question-92f,Form_Questions
FAFSA Question 92g,"Question 92g is asking if your parents or stepparents received any non-education benefits from being a veteran of the US military. If they did not receive any income from this source or are not veterans of the military, enter 0.",FAFSA-Question-92g,Form_Questions
FAFSA Question 92h,"Question 92h is asking if your parents or stepparents received any other money you didn't pay taxes on, such as disability benefits and workers' compensation. If they did not receive any income from these sources, enter 0.",FAFSA-Question-92h,Form_Questions
FAFSA Step Five,"Step Five is only required if you answered Yes to any questions in Step Three. If you answered No to all questions in Step Three, you can skip this section.",FAFSA-Step-Five,Form_Questions
FAFSA Question 93,"Question 93 is asking how many people are in your parents' household. This includes yourself, and where applicable, your spouse, your children, and other individuals for whom you provide more than half their support and will continue to do so through the school year indicated on your FAFSA form.",FAFSA-Question-93,Form_Questions
FAFSA Question 94,"Question 94 is asking how many people in your household, aside from family members in a military academy, will be college students for the given year on your FAFSA form. You, as a student, always count for this question!",FAFSA-Question-94,Form_Questions
FAFSA Question 95,"Question 95 is asking if you, your spouse, or anyone in your household (counted in question 93) received benefits from Medicaid or Supplemental Security Income. If someone in your household did receive these benefits, check the box.",FAFSA-Question-95,Form_Questions
FAFSA Question 96,"Question 96 is asking if you, your spouse, or anyone in your household (counted in question 93) received benefits from the Supplemental Nutrition Assistance Program (SNAP). If someone in your household did receive these benefits, check the box.",FAFSA-Question-96,Form_Questions
FAFSA Question 97,"Question 97 is asking if you, your spouse, or anyone in your household (counted in question 93) qualified for free or Reduced Price School Lunch. If someone in your household did qualify, check the box.",FAFSA-Question-97,Form_Questions
FAFSA Question 98,"Question 98 is asking if you, your parents, or anyone in your household (counted in question 93) received benefits from Temporary Assistance for Needy Families (TANF). Your state may have a different name for this program. To verify the program name for your state, please visit https://aspe.hhs.gov/dataset/tanf-program-names

If someone in your household did receive these benefits, check the box.",FAFSA-Question-98,Form_Questions
FAFSA Question 99,"Question 99 is asking if you, your parents, or anyone in your household (counted in question 93) received benefits from the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC). If someone in your household did receive these benefits, check the box.",FAFSA-Question-99,Form_Questions
FAFSA Question 100,"Question 100 is asking if you or your spouse is a dislocated worker, either due to layoffs, economic conditions, natural disasters, or previously occupied as a homemaker and struggling to find employment. You may be required to provide proof that you are a dislocated worker.",FAFSA-Question-100,Form_Questions
Step Six Overview,"Step Six is asking where you want to send your FAFSA information. These should be the colleges you are planning to apply to. The paper form allows for up to four colleges to be listed. Instructions on how to send your information to more colleges is available on page 2 of the paper form, or at www.fafsa.gov.",Step-Six-Overview,Form_Questions
FAFSA Question 101,Question 101 is asking where you want to send your FAFSA information. These should be the colleges you are planning to apply to.,FAFSA-Question-101,Form_Questions
FAFSA Question 101a,"Question 101a is asking for the federal school code of the first college you want to receive your FAFSA information. This should be one of the colleges you are applying to. You can look up federal school codes here: https://fafsa.ed.gov/spa/fsc/#/SEARCH?locale=en_US

If you don't know or can't find the federal school code for your college, you can include the name, address, city, and state of the college instead.",FAFSA-Question-101a,Form_Questions
FAFSA Question 101b,"Question 101b is asking where you plan to live at the first college you want to receive your FAFSA information. This information applies to the given school year your FAFSA applies to. If you plan to live in the college's dorms or other, on-campus housing, select ""on-campus."" If you plan to live with your parents while attending this school, select ""with parents."" If you plan to live somewhere not on campus, but not with your parents, select ""off-campus.""",FAFSA-Question-101b,Form_Questions
FAFSA Question 101c,"Question 101c is asking for the federal school code of the second college you want to receive your FAFSA information. This should be one of the colleges you are applying to. You can look up federal school codes here: https://fafsa.ed.gov/spa/fsc/#/SEARCH?locale=en_US

If you don't know or can't find the federal school code for your college, you can include the name, address, city, and state of the college instead.",FAFSA-Question-101c,Form_Questions
FAFSA Question 101d,"Question 101bdis asking where you plan to live at the second college you want to receive your FAFSA information. This information applies to the given school year your FAFSA applies to. If you plan to live in the college's dorms or other, on-campus housing, select ""on-campus."" If you plan to live with your parents while attending this school, select ""with parents."" If you plan to live somewhere not on campus, but not with your parents, select ""off-campus.""",FAFSA-Question-101d,Form_Questions
FAFSA Question 101e,"Question 101e is asking for the federal school code of the third college you want to receive your FAFSA information. This should be one of the colleges you are applying to. You can look up federal school codes here: https://fafsa.ed.gov/spa/fsc/#/SEARCH?locale=en_US

If you don't know or can't find the federal school code for your college, you can include the name, address, city, and state of the college instead.",FAFSA-Question-101e,Form_Questions
FAFSA Question 101f,"Question 101f is asking where you plan to live at the third college you want to receive your FAFSA information. This information applies to the given school year your FAFSA applies to. If you plan to live in the college's dorms or other, on-campus housing, select ""on-campus."" If you plan to live with your parents while attending this school, select ""with parents."" If you plan to live somewhere not on campus, but not with your parents, select ""off-campus.""",FAFSA-Question-101f,Form_Questions
FAFSA Question 101g,"Question 101g is asking for the federal school code of the fourth college you want to receive your FAFSA information. This should be one of the colleges you are applying to. You can look up federal school codes here: https://fafsa.ed.gov/spa/fsc/#/SEARCH?locale=en_US

If you don't know or can't find the federal school code for your college, you can include the name, address, city, and state of the college instead.",FAFSA-Question-101g,Form_Questions
FAFSA Question 101h,"Question 101h is asking where you plan to live at the fourth college you want to receive your FAFSA information. This information applies to the given school year your FAFSA applies to. If you plan to live in the college's dorms or other, on-campus housing, select ""on-campus."" If you plan to live with your parents while attending this school, select ""with parents."" If you plan to live somewhere not on campus, but not with your parents, select ""off-campus.""",FAFSA-Question-101h,Form_Questions
Step Seven Overview,"This is the last step! You've done great so far. Now, all you have to do is provide the date you completed the form, sign it, and have your parents sign it. If you paid someone to help you fill out this form, you'll have to include their information as well.",Step-Seven-Overview,Form_Questions
FAFSA Question 102,"Question 102 is the date you completed the FAFSA form. Enter the month and day, then select the appropriate year for when you completed the form.",FAFSA-Question-102,Form_Questions
FAFSA Question 103,"Question 103 is your signature and, if you completed Step Four, a signature from one of your parents. If filing electronically, you will sign your form with your FSA ID.",FAFSA-Question-103,Form_Questions
FAFSA Question 104,"If someone was paid to help you prepare this form, they must fill out this information. You don't need to do it!",FAFSA-Question-104,Form_Questions
FAFSA Question 105,"If someone was paid to help you prepare this form, they must fill out this section. You don't need to do it!",FAFSA-Question-105,Form_Questions
FAFSA Question 106,"If someone was paid to help you prepare this form, they must fill out this information. You don't need to do it!",FAFSA-Question-106,Form_Questions
[INSTITUTION] FAFSA Deadline,"Please turn in your FAFSA form to [LOCATION] by [DATE].

Note to Admin: Please update this response based on your institution's specific deadline.",[INSTITUTION]-FAFSA-Deadline,Terminology
